year,state,month,employees
2019,Baden-Württemberg,Januar,97.0
2019,Baden-Württemberg,Februar,97.3
2019,Baden-Württemberg,März,100.6
2019,Baden-Württemberg,April,102.1
2019,Baden-Württemberg,Mai,104.3
2019,Baden-Württemberg,Juni,103.2
2019,Baden-Württemberg,Juli,104.3
2019,Baden-Württemberg,August,105.3
2019,Baden-Württemberg,September,106.1
2019,Baden-Württemberg,Oktober,103.7
2019,Baden-Württemberg,November,101.7
2019,Baden-Württemberg,Dezember,102.5
2019,Bayern,Januar,99.7
2019,Bayern,Februar,100.7
2019,Bayern,März,103.0
2019,Bayern,April,106.1
2019,Bayern,Mai,108.4
2019,Bayern,Juni,111.6
2019,Bayern,Juli,112.8
2019,Bayern,August,112.6
2019,Bayern,September,111.4
2019,Bayern,Oktober,108.9
2019,Bayern,November,104.0
2019,Berlin,Januar,100.6
2019,Berlin,Februar,101.9
2019,Berlin,März,101.9
2019,Berlin,April,103.3
2019,Berlin,Mai,103.8
2019,Berlin,Juni,103.0
2019,Berlin,Juli,103.2
2019,Berlin,August,102.5
2019,Berlin,September,104.3
2019,Berlin,Oktober,103.1
2019,Berlin,November,103.6
2019,Berlin,Dezember,102.7
2019,Brandenburg,Januar,107.0
2019,Brandenburg,Februar,110.4
2019,Brandenburg,März,112.2
2019,Brandenburg,April,116.7
2019,Brandenburg,Mai,115.3
2019,Brandenburg,Juni,115.7
2019,Brandenburg,Juli,115.8
2019,Brandenburg,August,113.5
2019,Brandenburg,September,111.8
2019,Brandenburg,Oktober,113.8
2019,Brandenburg,November,110.7
2019,Brandenburg,Dezember,108.6
2019,Bremen,Januar,107.8
2019,Bremen,Februar,108.2
2019,Bremen,März,111.5
2019,Bremen,April,111.6
2019,Bremen,Mai,113.1
2019,Bremen,Juni,114.2
2019,Bremen,Juli,112.4
2019,Bremen,August,112.7
2019,Bremen,September,112.8
2019,Bremen,Oktober,110.6
2019,Bremen,November,109.1
2019,Bremen,Dezember,109.1
2019,Hessen,Januar,100.8
2019,Hessen,Februar,101.6
2019,Hessen,März,103.3
2019,Hessen,April,104.0
2019,Hessen,Mai,105.2
2019,Hessen,Juni,104.9
2019,Hessen,Juli,105.2
2019,Hessen,August,105.4
2019,Hessen,September,105.9
2019,Hessen,Oktober,105.0
2019,Hessen,November,103.5
2019,Hessen,Dezember,103.3
2019,Mecklenburg-Vorpommern,Januar,96.0
2019,Mecklenburg-Vorpommern,Februar,96.6
2019,Mecklenburg-Vorpommern,März,100.2
2019,Mecklenburg-Vorpommern,April,106.0
2019,Mecklenburg-Vorpommern,Mai,109.7
2019,Mecklenburg-Vorpommern,Juni,111.6
2019,Mecklenburg-Vorpommern,Juli,115.2
2019,Mecklenburg-Vorpommern,August,114.2
2019,Mecklenburg-Vorpommern,September,111.3
2019,Mecklenburg-Vorpommern,Oktober,108.9
2019,Mecklenburg-Vorpommern,November,101.7
2019,Mecklenburg-Vorpommern,Dezember,100.6
2019,Niedersachsen,Januar,96.4
2019,Niedersachsen,Februar,96.5
2019,Niedersachsen,März,98.3
2019,Niedersachsen,April,101.0
2019,Niedersachsen,Mai,102.9
2019,Niedersachsen,Juni,105.3
2019,Niedersachsen,Juli,104.9
2019,Niedersachsen,August,107.9
2019,Niedersachsen,September,104.8
2019,Niedersachsen,Oktober,100.5
2019,Niedersachsen,November,100.1
2019,Niedersachsen,Dezember,102.8
2019,Nordrhein-Westfalen,Januar,100.0
2019,Nordrhein-Westfalen,Februar,99.7
2019,Nordrhein-Westfalen,März,100.2
2019,Nordrhein-Westfalen,April,102.5
2019,Nordrhein-Westfalen,Mai,102.8
2019,Nordrhein-Westfalen,Juni,102.2
2019,Nordrhein-Westfalen,Juli,104.9
2019,Nordrhein-Westfalen,August,104.8
2019,Nordrhein-Westfalen,September,104.2
2019,Nordrhein-Westfalen,Oktober,103.3
2019,Nordrhein-Westfalen,November,103.3
2019,Nordrhein-Westfalen,Dezember,103.0
2019,Rheinland-Pfalz,Januar,88.7
2019,Rheinland-Pfalz,Februar,91.0
2019,Rheinland-Pfalz,März,93.7
2019,Rheinland-Pfalz,April,97.3
2019,Rheinland-Pfalz,Mai,100.6
2019,Rheinland-Pfalz,Juni,105.5
2019,Rheinland-Pfalz,Juli,105.2
2019,Rheinland-Pfalz,August,107.8
2019,Rheinland-Pfalz,September,105.2
2019,Rheinland-Pfalz,Oktober,104.2
2019,Rheinland-Pfalz,November,101.9
2019,Rheinland-Pfalz,Dezember,99.6
2019,Saarland,Januar,97.8
2019,Saarland,Februar,97.9
2019,Saarland,März,96.6
2019,Saarland,April,95.4
2019,Saarland,Mai,97.5
2019,Saarland,Juni,96.4
2019,Saarland,Juli,96.4
2019,Saarland,August,97.6
2019,Saarland,September,101.1
2019,Saarland,Oktober,99.0
2019,Saarland,November,113.4
2019,Saarland,Dezember,118.4
2019,Sachsen,Januar,100.8
2019,Sachsen,Februar,102.6
2019,Sachsen,März,103.1
2019,Sachsen,April,108.3
2019,Sachsen,Mai,110.9
2019,Sachsen,Juni,112.7
2019,Sachsen,Juli,112.2
2019,Sachsen,August,112.5
2019,Sachsen,September,111.2
2019,Sachsen,Oktober,110.4
2019,Sachsen,November,110.9
2019,Sachsen,Dezember,110.5
2019,Sachsen-Anhalt,Januar,100.3
2019,Sachsen-Anhalt,Februar,99.3
2019,Sachsen-Anhalt,März,100.6
2019,Sachsen-Anhalt,April,105.2
2019,Sachsen-Anhalt,Mai,106.5
2019,Sachsen-Anhalt,Juni,106.3
2019,Sachsen-Anhalt,Juli,107.4
2019,Sachsen-Anhalt,August,109.6
2019,Sachsen-Anhalt,September,109.8
2019,Sachsen-Anhalt,Oktober,108.0
2019,Sachsen-Anhalt,November,105.7
2019,Sachsen-Anhalt,Dezember,105.9
2019,Thüringen,Januar,93.9
2019,Thüringen,Februar,94.4
2019,Thüringen,März,95.9
2019,Thüringen,April,99.5
2019,Thüringen,Mai,100.4
2019,Thüringen,Juni,103.0
2019,Thüringen,Juli,103.4
2019,Thüringen,August,103.9
2019,Thüringen,September,104.3
2019,Thüringen,Oktober,99.8
2019,Thüringen,November,100.3
2019,Thüringen,Dezember,96.0
2020,Baden-Württemberg,Januar,99.2
2020,Baden-Württemberg,Februar,99.9
2020,Baden-Württemberg,März,96.3
2020,Baden-Württemberg,April,72.8
2020,Baden-Württemberg,Mai,77.0
2020,Baden-Württemberg,Juni,81.4
2020,Baden-Württemberg,Juli,87.0
2020,Baden-Württemberg,August,89.4
2020,Baden-Württemberg,September,89.4
2020,Baden-Württemberg,Oktober,88.6
2020,Baden-Württemberg,November,74.7
2020,Baden-Württemberg,Dezember,69.0
2020,Bayern,Januar,101.1
2020,Bayern,Februar,101.5
2020,Bayern,März,96.9
2020,Bayern,April,74.7
2020,Bayern,Mai,81.0
2020,Bayern,Juni,88.0
2020,Bayern,Juli,92.7
2020,Bayern,August,95.2
2020,Bayern,September,95.6
2020,Bayern,Oktober,92.2
2020,Bayern,November,77.2
2020,Bayern,Dezember,73.8
2020,Berlin,Januar,101.0
2020,Berlin,Februar,100.5
2020,Berlin,März,97.6
2020,Berlin,April,86.6
2020,Berlin,Mai,85.2
2020,Berlin,Juni,85.4
2020,Berlin,Juli,85.0
2020,Berlin,August,87.2
2020,Berlin,September,86.9
2020,Berlin,Oktober,84.5
2020,Berlin,November,79.9
2020,Berlin,Dezember,77.7
2020,Brandenburg,Januar,107.7
2020,Brandenburg,Februar,106.2
2020,Brandenburg,März,104.9
2020,Brandenburg,April,94.4
2020,Brandenburg,Mai,95.6
2020,Brandenburg,Juni,96.4
2020,Brandenburg,Juli,100.0
2020,Brandenburg,August,98.7
2020,Brandenburg,September,99.4
2020,Brandenburg,Oktober,96.7
2020,Brandenburg,November,91.2
2020,Brandenburg,Dezember,86.3
2020,Bremen,Januar,106.0
2020,Bremen,Februar,105.2
2020,Bremen,März,99.6
2020,Bremen,April,87.7
2020,Bremen,Mai,87.0
2020,Bremen,Juni,84.3
2020,Bremen,Juli,88.0
2020,Bremen,August,89.8
2020,Bremen,September,94.2
2020,Bremen,Oktober,92.4
2020,Bremen,November,83.0
2020,Bremen,Dezember,79.6
2020,Hessen,Januar,101.5
2020,Hessen,Februar,101.7
2020,Hessen,März,95.4
2020,Hessen,April,79.2
2020,Hessen,Mai,81.6
2020,Hessen,Juni,85.1
2020,Hessen,Juli,87.4
2020,Hessen,August,87.7
2020,Hessen,September,88.3
2020,Hessen,Oktober,86.7
2020,Hessen,November,76.7
2020,Hessen,Dezember,73.0
2020,Mecklenburg-Vorpommern,Januar,95.1
2020,Mecklenburg-Vorpommern,Februar,96.0
2020,Mecklenburg-Vorpommern,März,93.7
2020,Mecklenburg-Vorpommern,April,86.9
2020,Mecklenburg-Vorpommern,Mai,89.4
2020,Mecklenburg-Vorpommern,Juni,97.5
2020,Mecklenburg-Vorpommern,Juli,102.8
2020,Mecklenburg-Vorpommern,August,102.8
2020,Mecklenburg-Vorpommern,September,103.5
2020,Mecklenburg-Vorpommern,Oktober,101.2
2020,Mecklenburg-Vorpommern,November,89.8
2020,Mecklenburg-Vorpommern,Dezember,86.3
2020,Niedersachsen,Januar,95.7
2020,Niedersachsen,Februar,96.9
2020,Niedersachsen,März,91.2
2020,Niedersachsen,April,73.5
2020,Niedersachsen,Mai,78.7
2020,Niedersachsen,Juni,82.6
2020,Niedersachsen,Juli,86.3
2020,Niedersachsen,August,90.4
2020,Niedersachsen,September,90.4
2020,Niedersachsen,Oktober,88.3
2020,Niedersachsen,November,75.2
2020,Niedersachsen,Dezember,71.7
2020,Nordrhein-Westfalen,Januar,101.7
2020,Nordrhein-Westfalen,Februar,102.1
2020,Nordrhein-Westfalen,März,96.2
2020,Nordrhein-Westfalen,April,83.8
2020,Nordrhein-Westfalen,Mai,86.7
2020,Nordrhein-Westfalen,Juni,89.5
2020,Nordrhein-Westfalen,Juli,90.5
2020,Nordrhein-Westfalen,August,91.3
2020,Rheinland-Pfalz,Januar,95.2
2020,Rheinland-Pfalz,Februar,97.8
2020,Rheinland-Pfalz,März,90.1
2020,Rheinland-Pfalz,April,64.5
2020,Rheinland-Pfalz,Mai,78.2
2020,Rheinland-Pfalz,Juni,84.8
2020,Rheinland-Pfalz,Juli,89.0
2020,Rheinland-Pfalz,August,91.5
2020,Rheinland-Pfalz,September,93.9
2020,Rheinland-Pfalz,Oktober,90.7
2020,Rheinland-Pfalz,November,75.0
2020,Rheinland-Pfalz,Dezember,68.5
2020,Saarland,Januar,98.6
2020,Saarland,Februar,97.5
2020,Saarland,März,89.3
2020,Saarland,April,68.4
2020,Saarland,Mai,72.5
2020,Saarland,Juni,73.9
2020,Saarland,Juli,81.2
2020,Saarland,August,82.3
2020,Saarland,September,84.8
2020,Saarland,Oktober,81.4
2020,Saarland,November,70.3
2020,Saarland,Dezember,64.1
2020,Sachsen,Januar,105.0
2020,Sachsen,Februar,104.5
2020,Sachsen,März,102.5
2020,Sachsen,April,85.2
2020,Sachsen,Mai,87.9
2020,Sachsen,Juni,92.6
2020,Sachsen,Juli,96.6
2020,Sachsen,August,99.9
2020,Sachsen,September,102.8
2020,Sachsen,Oktober,98.8
2020,Sachsen,November,87.9
2020,Sachsen,Dezember,82.2
2020,Sachsen-Anhalt,Januar,101.0
2020,Sachsen-Anhalt,Februar,102.3
2020,Sachsen-Anhalt,März,95.5
2020,Sachsen-Anhalt,April,82.7
2020,Sachsen-Anhalt,Mai,86.0
2020,Sachsen-Anhalt,Juni,90.6
2020,Sachsen-Anhalt,Juli,94.1
2020,Sachsen-Anhalt,August,96.1
2020,Sachsen-Anhalt,September,98.6
2020,Sachsen-Anhalt,Oktober,100.0
2020,Sachsen-Anhalt,November,88.5
2020,Sachsen-Anhalt,Dezember,84.6
2020,Thüringen,Januar,93.9
2020,Thüringen,Februar,94.4
2020,Thüringen,März,88.9
2020,Thüringen,April,72.4
2020,Thüringen,Mai,78.0
2020,Thüringen,Juni,81.3
2020,Thüringen,Juli,84.7
2020,Thüringen,August,87.6
2020,Thüringen,September,88.1
2020,Thüringen,Oktober,87.1
2020,Thüringen,November,77.6
2020,Thüringen,Dezember,74.3
2021,Baden-Württemberg,Januar,72.9
2021,Baden-Württemberg,Februar,72.1
2021,Baden-Württemberg,März,72.0
2021,Baden-Württemberg,April,71.4
2021,Baden-Württemberg,Mai,73.1
2021,Baden-Württemberg,Juni,77.2
2021,Baden-Württemberg,Juli,80.4
2021,Baden-Württemberg,August,82.2
2021,Baden-Württemberg,September,83.0
2021,Baden-Württemberg,Oktober,83.1
2021,Baden-Württemberg,November,82.2
2021,Baden-Württemberg,Dezember,80.1
2021,Bayern,Januar,70.8
2021,Bayern,Februar,70.9
2021,Bayern,März,70.2
2021,Berlin,Januar,76.7
2021,Berlin,Februar,75.8
2021,Berlin,März,75.3
2021,Berlin,April,74.8
2021,Berlin,Mai,74.8
2021,Berlin,Juni,76.6
2021,Berlin,Juli,78.1
2021,Berlin,August,80.4
2021,Berlin,September,81.8
2021,Berlin,Oktober,82.7
2021,Berlin,November,83.6
2021,Berlin,Dezember,82.7
2021,Brandenburg,Januar,84.3
2021,Brandenburg,Februar,84.1
2021,Brandenburg,März,83.8
2021,Brandenburg,April,84.6
2021,Brandenburg,Mai,85.4
2021,Brandenburg,Juni,89.1
2021,Brandenburg,Juli,91.1
2021,Brandenburg,August,93.0
2021,Brandenburg,September,93.3
2021,Brandenburg,Oktober,92.8
2021,Brandenburg,November,92.7
2021,Brandenburg,Dezember,91.2
2021,Bremen,Januar,77.8
2021,Bremen,Februar,76.6
2021,Bremen,März,76.6
2021,Bremen,April,76.0
2021,Bremen,Mai,78.3
2021,Bremen,Juni,85.8
2021,Bremen,Juli,89.6
2021,Bremen,August,92.7
2021,Bremen,September,93.8
2021,Bremen,Oktober,93.9
2021,Bremen,November,92.6
2021,Bremen,Dezember,89.0
2021,Hessen,Januar,71.8
2021,Hessen,Februar,71.5
2021,Hessen,März,71.2
2021,Hessen,April,70.2
2021,Hessen,Mai,71.4
2021,Hessen,Juni,79.4
2021,Hessen,Juli,84.0
2021,Hessen,August,86.4
2021,Hessen,September,87.0
2021,Hessen,Oktober,87.3
2021,Hessen,November,86.4
2021,Hessen,Dezember,84.4
2021,Mecklenburg-Vorpommern,Januar,85.6
2021,Mecklenburg-Vorpommern,Februar,84.2
2021,Mecklenburg-Vorpommern,März,84.6
2021,Mecklenburg-Vorpommern,April,83.5
2021,Mecklenburg-Vorpommern,Mai,84.1
2021,Mecklenburg-Vorpommern,Juni,96.7
2021,Mecklenburg-Vorpommern,Juli,105.1
2021,Mecklenburg-Vorpommern,August,104.6
2021,Mecklenburg-Vorpommern,September,101.6
2021,Mecklenburg-Vorpommern,Oktober,101.4
2021,Mecklenburg-Vorpommern,November,94.1
2021,Mecklenburg-Vorpommern,Dezember,90.9
2021,Niedersachsen,Januar,74.9
2021,Niedersachsen,Februar,74.4
2021,Niedersachsen,März,75.2
2021,Niedersachsen,April,75.0
2021,Niedersachsen,Mai,76.3
2021,Niedersachsen,Juni,80.9
2021,Niedersachsen,Juli,84.0
2021,Niedersachsen,August,84.8
2021,Niedersachsen,September,85.3
2021,Niedersachsen,Oktober,85.0
2021,Niedersachsen,November,84.2
2021,Niedersachsen,Dezember,82.4
2021,Rheinland-Pfalz,Januar,66.4
2021,Rheinland-Pfalz,Februar,63.0
2021,Rheinland-Pfalz,März,63.0
2021,Rheinland-Pfalz,April,64.1
2021,Saarland,Januar,70.3
2021,Saarland,Februar,69.7
2021,Saarland,März,69.9
2021,Saarland,April,70.9
2021,Saarland,Mai,70.9
2021,Saarland,Juni,77.5
2021,Saarland,Juli,80.4
2021,Saarland,August,81.7
2021,Saarland,September,83.0
2021,Saarland,Oktober,83.7
2021,Saarland,November,81.7
2021,Saarland,Dezember,79.7
2021,Sachsen,Januar,79.0
2021,Sachsen,Februar,79.3
2021,Sachsen,März,79.5
2021,Sachsen,April,80.0
2021,Sachsen,Mai,80.7
2021,Sachsen,Juni,87.0
2021,Sachsen,Juli,93.8
2021,Sachsen,August,99.2
2021,Sachsen,September,97.4
2021,Sachsen,Oktober,97.2
2021,Sachsen,November,91.2
2021,Sachsen,Dezember,87.2
2021,Sachsen-Anhalt,Januar,82.7
2021,Sachsen-Anhalt,Februar,81.8
2021,Sachsen-Anhalt,März,81.7
2021,Sachsen-Anhalt,April,81.0
2021,Sachsen-Anhalt,Mai,82.0
2021,Sachsen-Anhalt,Juni,85.4
2021,Sachsen-Anhalt,Juli,89.6
2021,Sachsen-Anhalt,August,92.6
2021,Sachsen-Anhalt,September,94.7
2021,Thüringen,Januar,72.3
2021,Thüringen,Februar,71.9
2021,Thüringen,März,69.8
2021,Thüringen,April,71.3
2021,Thüringen,Mai,73.5
2021,Thüringen,Juni,75.3
2021,Thüringen,Juli,80.9
2021,Thüringen,August,87.6
2021,Thüringen,September,85.3
2021,Thüringen,Oktober,84.3
2021,Thüringen,November,86.3
2021,Thüringen,Dezember,83.8
2022,Baden-Württemberg,Januar,79.9
2022,Baden-Württemberg,Februar,79.9
2022,Baden-Württemberg,März,82.4
2022,Baden-Württemberg,April,85.0
2022,Baden-Württemberg,Mai,86.9
2022,Baden-Württemberg,Juni,108.4
2022,Baden-Württemberg,Juli,91.2
2022,Baden-Württemberg,August,91.8
2022,Baden-Württemberg,September,92.1
2022,Berlin,Januar,82.1
2022,Berlin,Februar,81.5
2022,Berlin,März,83.6
2022,Berlin,April,86.4
2022,Berlin,Mai,86.7
2022,Berlin,Juni,89.0
2022,Berlin,Juli,90.2
2022,Berlin,August,92.0
2022,Brandenburg,Januar,89.2
2022,Brandenburg,Februar,88.6
2022,Brandenburg,März,89.8
2022,Brandenburg,April,93.0
2022,Brandenburg,Mai,94.6
2022,Brandenburg,Juni,97.6
2022,Brandenburg,Juli,98.2
2022,Brandenburg,August,98.7
2022,Bremen,Januar,84.9
2022,Bremen,Februar,84.7
2022,Bremen,März,87.8
2022,Bremen,April,89.5
2022,Hessen,Januar,80.2
2022,Hessen,Februar,80.3
2022,Hessen,März,83.0
2022,Hessen,April,84.5
2022,Hessen,Mai,87.6
2022,Hessen,Juni,90.0
2022,Mecklenburg-Vorpommern,Januar,90.1
2022,Mecklenburg-Vorpommern,Februar,91.1
2022,Mecklenburg-Vorpommern,März,93.6
2022,Niedersachsen,Januar,81.5
2022,Niedersachsen,Februar,80.9
2022,Niedersachsen,März,84.0
2022,Niedersachsen,April,87.1
2022,Niedersachsen,Mai,88.0
2022,Niedersachsen,Juni,91.7
2022,Niedersachsen,Juli,92.9
2022,Niedersachsen,August,93.9
2022,Niedersachsen,September,93.1
2022,Saarland,Januar,78.6
2022,Saarland,Februar,78.1
2022,Saarland,März,80.2
2022,Saarland,April,82.9
2022,Saarland,Mai,84.4
2022,Saarland,Juni,85.1
2022,Saarland,Juli,86.5
2022,Saarland,August,86.6
2022,Saarland,September,86.0
2022,Sachsen,Januar,84.9
2022,Sachsen,Februar,85.9
2022,Thüringen,Januar,79.7
2022,Thüringen,Februar,81.2
2019,Deutschland,Januar,99.1
2019,Deutschland,Februar,99.8
2019,Deutschland,März,101.7
2019,Deutschland,April,104.2
2019,Deutschland,Mai,105.9
2019,Deutschland,Juni,107.0
2019,Deutschland,Juli,107.5
2019,Deutschland,August,108.2
2019,Deutschland,September,108.0
2019,Deutschland,Oktober,105.8
2019,Deutschland,November,103.6
2019,Deutschland,Dezember,103.9
2020,Deutschland,Januar,100.6
2020,Deutschland,Februar,101.0
2020,Deutschland,März,95.9
2020,Deutschland,April,78.1
2020,Deutschland,Mai,82.5
2020,Deutschland,Juni,86.9
2020,Deutschland,Juli,90.3
2020,Deutschland,August,92.3
2020,Deutschland,September,92.9
2020,Deutschland,Oktober,90.6
2020,Deutschland,November,78.8
2020,Deutschland,Dezember,74.5
2021,Deutschland,Januar,77.5
2021,Deutschland,Februar,76.7
2021,Deutschland,März,76.9
2021,Deutschland,April,76.5
2021,Deutschland,Mai,77.8
2021,Deutschland,Juni,81.9
2021,Deutschland,Juli,84.6
2021,Deutschland,August,86.0
2021,Deutschland,September,86.8
2021,Deutschland,Oktober,87.3
2021,Deutschland,November,86.8
2021,Deutschland,Dezember,84.9
2022,Deutschland,Januar,83.7
2022,Deutschland,Februar,83.6
2022,Deutschland,März,86.0
2022,Deutschland,April,88.7
2022,Deutschland,Mai,90.4
2022,Deutschland,Juni,95.4
2022,Deutschland,Juli,94.7
2022,Deutschland,August,95.6
2022,Deutschland,September,95.7
2022,Deutschland,Oktober,94.5
